latitude,longitude,beds,week_price,neighbourhood_cleansed,zipcode
37.7679192,-122.4201876,1,7,Mission,94103
37.76908911,-122.4217075,1,7,Mission,94103
37.75016336,-122.4118471,3,21,Mission,94110
37.75865034,-122.4252964,1,7,Mission,94110
37.75133595,-122.4218832,4,28,Mission,94110
37.7533923,-122.4136982,1,7,Mission,94110
37.75806252,-122.4079352,1,7,Mission,94110
37.76171459,-122.4220239,2,14,Mission,94110
37.75967255,-122.416277,1,7,Mission,94110
37.75940969,-122.408415,1,7,Mission,94110
37.76025311,-122.4071318,1,7,Mission,94110
37.76284331,-122.4244322,2,14,Mission,94110
37.75530262,-122.4203073,2,14,Mission,94110
37.7591889,-122.4223669,2,14,Mission,94110
37.76361641,-122.4239265,1,7,Mission,94110
37.75756184,-122.4073059,1,7,Mission,94110
37.76470375,-122.4217387,2,14,Mission,94103
37.76585748,-122.4243219,1,7,Mission,94103
37.7597155,-122.4209252,2,14,Mission,94110
37.75581652,-122.4242125,2,14,Mission,94110
37.75882064,-122.4249976,1,7,Mission,94110
37.75692306,-122.4140757,1,7,Mission,94110
37.75129969,-122.4112113,1,7,Mission,94110
