beds,price,number_of_reviews
1,160.00,5
1,100.00,2
1,85.00,29
1,200.00,1
4,420.00,24
1,190.00,14
1,245.00,11
1,189.00,49
2,159.00,101
3,159.00,73
1,150.00,8
4,600.00,5
2,499.00,40
0,169.00,0
2,250.00,12
3,169.00,29
1,90.00,13
2,179.00,9
1,125.00,106
1,220.00,7
1,90.00,0
2,1000.00,0
2,395.00,57
1,375.00,17
1,125.00,0
1,114.00,1
1,189.00,45
1,229.00,0
1,125.00,10
2,261.00,0
2,595.00,7
1,195.00,0
1,440.00,0
1,150.00,7
1,149.00,14
1,300.00,0
3,200.00,10
3,300.00,2
1,100.00,5
1,205.00,7
1,285.00,8
1,400.00,0
1,220.00,0
2,381.00,64
1,160.00,42
2,131.00,20
1,125.00,59
1,179.00,95
1,164.00,39
1,190.00,9
1,100.00,0
1,500.00,1
1,139.00,121
1,279.00,23
1,375.00,7
1,100.00,9
1,145.00,64
1,178.00,114
1,109.00,50
1,109.00,65
2,200.00,27
1,89.00,0
1,200.00,16
2,250.00,9
2,475.00,28
2,125.00,52
1,180.00,4
2,400.00,4
2,220.00,75
2,397.00,24
3,212.00,5
1,109.00,11
1,180.00,5
1,150.00,0
5,1425.00,0
2,150.00,131
1,169.00,21
2,250.00,0
2,175.00,13
1,99.00,109
1,400.00,0
1,200.00,6
1,200.00,2
5,599.00,44
1,100.00,0
1,75.00,21
1,185.00,23
1,189.00,56
1,165.00,0
1,120.00,4
1,249.00,6
1,188.00,9
1,235.00,4
5,500.00,9
1,195.00,2
3,800.00,0
3,670.00,3
1,850.00,0
1,350.00,11
1,130.00,100
3,325.00,11
1,99.00,65
1,300.00,0
3,1500.00,1
1,200.00,6
4,300.00,7
1,135.00,0
1,160.00,18
6,2200.00,0
1,95.00,31
2,250.00,7
1,250.00,10
1,175.00,4
1,165.00,0
6,949.00,7
1,150.00,15
1,55.00,1
1,300.00,20
1,200.00,0
2,350.00,14
1,109.00,1
2,129.00,115
4,250.00,0
1,115.00,16
2,300.00,7
3,205.00,56
2,400.00,0
3,349.00,36
1,329.00,17
1,190.00,152
4,400.00,36
3,250.00,56
1,127.00,0
4,334.00,89
2,450.00,1
1,500.00,0
1,120.00,27
1,250.00,5
1,500.00,1
1,105.00,2
2,325.00,7
1,225.00,1
1,145.00,13
2,250.00,0
2,1200.00,0
2,600.00,0
2,159.00,39
6,1250.00,13
3,196.00,187
5,1500.00,2
2,295.00,34
1,264.00,15
1,185.00,0
1,235.00,0
2,190.00,15
3,1500.00,0
2,695.00,0
1,400.00,10
2,300.00,1
2,500.00,0
1,125.00,19
1,325.00,16
1,48.00,0
1,122.00,12
1,200.00,32
1,375.00,1
2,320.00,0
2,350.00,6
1,200.00,6
1,225.00,16
1,215.00,8
2,325.00,0
1,315.00,2
1,207.00,0
1,300.00,0
2,585.00,14
1,100.00,0
1,200.00,1
1,250.00,2
1,200.00,0
1,400.00,0
1,214.00,1
1,290.00,6
1,125.00,16
3,217.00,19
1,180.00,0
1,84.00,20
1,140.00,216
1,325.00,0
2,585.00,1
2,129.00,73
1,350.00,1
2,173.00,5
1,195.00,16
1,200.00,15
1,250.00,5
1,175.00,80
1,175.00,28
5,700.00,61
1,195.00,26
1,329.00,49
2,201.00,3
1,250.00,14
1,295.00,8
3,2100.00,0
1,139.00,16
1,186.00,7
1,150.00,5
2,300.00,10
1,228.00,3
2,129.00,111
1,115.00,13
1,175.00,31
1,225.00,7
2,180.00,18
1,250.00,3
1,298.00,2
1,200.00,2
9,1285.00,17
3,1000.00,2
1,165.00,106
1,140.00,2
2,385.00,21
2,250.00,91
1,200.00,26
1,199.00,97
2,699.00,38
3,2000.00,0
3,425.00,35
1,140.00,3
2,550.00,24
1,395.00,28
6,900.00,18
1,180.00,2
1,250.00,6
3,475.00,13
1,75.00,12
2,49.00,14
1,65.00,14
2,150.00,4
1,100.00,0
2,60.00,9
1,105.00,3
1,150.00,0
3,950.00,0
2,120.00,8
1,90.00,5
2,120.00,3
1,99.00,2
1,150.00,0
1,142.00,0
3,185.00,52
2,50.00,1
1,77.00,6
2,78.00,45
1,89.00,45
4,300.00,0
2,68.00,104
4,149.00,20
1,120.00,15
14,235.00,13
1,89.00,62
2,78.00,115
1,80.00,5
1,110.00,68
2,100.00,1
1,180.00,0
2,120.00,17
5,99.00,114
1,90.00,192
2,50.00,26
2,36.00,4
1,90.00,2
2,150.00,46
2,50.00,5
1,76.00,178
2,350.00,0
3,150.00,42
1,50.00,0
1,56.00,12
1,118.00,20
2,170.00,0
3,68.00,54
2,110.00,8
1,99.00,44
1,50.00,9
2,120.00,103
2,129.00,99
2,150.00,40
1,89.00,118
3,350.00,13
1,74.00,6
8,450.00,0
1,130.00,2
3,199.00,31
1,75.00,21
2,99.00,19
1,105.00,61
1,62.00,115
3,50.00,7
2,175.00,1
1,185.00,89
1,85.00,93
1,40.00,2
1,59.00,0
1,99.00,22
3,200.00,41
2,215.00,57
2,112.00,291
1,115.00,38
2,110.00,0
2,89.00,13
1,106.00,89
1,115.00,38
1,50.00,115
1,73.00,89
2,170.00,81
1,80.00,49
1,109.00,1
1,61.00,31
2,210.00,54
1,150.00,0
1,100.00,0
1,59.00,0
1,65.00,49
2,150.00,3
3,184.00,74
1,75.00,18
3,95.00,140
1,65.00,4
1,62.00,26
2,99.00,15
1,147.00,11
5,280.00,7
